Date,"Máximo da máxima","Média da máxima","Média da média","Média da mínima","Mínimo da mínima"
1/1/1941,16.80,11.94,9.55,7.17,0.80
1/2/1941,16.70,13.97,11.64,9.31,4.30
1/3/1941,20.40,15.93,13.01,10.10,6.90
1/4/1941,23.20,17.53,14.44,11.35,7.80
1/5/1941,25.50,19.34,15.49,11.64,9.60
1/6/1941,35.80,25.71,20.81,15.90,11.00
1/7/1941,36.90,27.70,22.68,17.66,13.70
1/8/1941,37.10,29.64,23.40,17.15,14.50
1/9/1941,33.70,27.97,22.78,17.59,15.10
1/10/1941,31.90,25.25,19.98,14.70,8.60
1/11/1941,19.80,17.11,13.34,9.57,6.00
1/12/1941,16.20,12.95,9.54,6.13,1.40
1/1/1942,16.90,13.98,10.83,7.67,2.60
1/2/1942,18.70,14.40,10.12,5.84,0.60
1/3/1942,23.50,16.86,13.91,10.95,7.10
1/4/1942,25.40,18.32,14.64,10.96,8.50
1/5/1942,29.80,21.24,17.15,13.06,10.80
1/6/1942,34.50,25.24,20.52,15.79,13.00
1/7/1942,36.70,28.41,22.86,17.32,14.60
1/8/1942,33.50,27.08,21.93,16.79,14.00
1/9/1942,34.00,26.53,21.64,16.75,12.00
1/10/1942,30.50,23.53,19.18,14.84,9.30
1/11/1942,21.50,17.23,13.92,10.61,3.60
1/12/1942,19.00,15.49,12.36,9.23,3.90
1/1/1943,17.40,15.63,12.73,9.83,5.50
1/2/1943,20.40,15.81,12.02,8.22,3.80
1/3/1943,23.10,18.22,14.22,10.22,7.90
1/4/1943,28.10,22.77,17.93,13.09,11.00
1/5/1943,33.00,24.91,19.45,13.99,9.80
1/6/1943,35.50,27.68,21.93,16.17,13.20
1/7/1943,36.00,27.15,22.24,17.33,15.00
1/8/1943,40.30,30.51,24.24,17.97,15.00
1/9/1943,30.60,23.95,19.71,15.47,12.10
1/10/1943,28.00,21.74,17.63,13.51,10.30
1/11/1943,20.00,17.04,13.14,9.24,4.00
1/12/1943,16.70,13.95,10.91,7.86,3.50
1/1/1944,19.50,14.83,10.45,6.07,0.70
1/2/1944,20.60,15.19,10.74,6.28,1.90
1/3/1944,27.40,18.44,13.56,8.69,4.50
1/4/1944,29.70,21.69,17.07,12.45,9.00
1/5/1944,31.40,24.99,19.53,14.06,10.20
1/6/1944,35.50,26.83,21.86,16.90,13.70
1/7/1944,39.20,28.24,22.61,16.97,14.70
1/8/1944,33.60,27.82,22.86,17.90,14.60
1/9/1944,32.60,27.14,21.89,16.64,13.00
1/10/1944,29.50,20.91,16.72,12.52,8.10
1/11/1944,21.20,18.06,14.10,10.15,6.90
1/12/1944,18.40,14.03,10.72,7.42,2.10
1/1/1945,16.80,11.76,8.41,5.06,0.00
1/2/1945,21.20,17.44,12.92,8.40,6.70
1/3/1945,27.20,21.08,15.44,9.80,7.60
1/4/1945,30.80,23.98,18.73,13.48,10.00
1/5/1945,26.90,22.24,17.64,13.04,10.40
1/6/1945,35.70,27.08,21.88,16.67,12.60
1/7/1945,36.70,27.60,21.98,16.35,14.00
1/8/1945,34.60,27.35,21.81,16.27,14.20
1/9/1945,34.70,28.04,22.19,16.34,14.40
1/10/1945,31.00,24.77,20.05,15.33,10.20
1/11/1945,23.90,19.60,16.30,13.01,9.40
1/12/1945,20.90,16.04,12.76,9.47,4.50
1/1/1946,19.20,13.63,10.21,6.80,2.20
1/2/1946,20.00,17.13,12.84,8.55,5.60
1/3/1946,23.30,16.92,12.95,8.99,5.80
1/4/1946,23.90,19.17,15.27,11.36,7.90
1/5/1946,21.80,18.84,15.18,11.53,9.20
1/6/1946,31.40,24.86,19.70,14.55,12.20
1/7/1946,39.90,30.31,23.99,17.67,14.20
1/8/1946,34.00,27.00,21.67,16.35,13.60
1/9/1946,33.00,26.57,21.00,15.43,12.50
1/10/1946,34.30,22.98,18.90,14.83,11.00
1/11/1946,24.90,18.44,14.80,11.16,7.00
1/12/1946,18.10,14.83,11.47,8.11,0.90
1/1/1947,19.10,13.63,10.03,6.43,-0.50
1/2/1947,17.50,14.28,11.62,8.96,4.40
1/3/1947,22.90,17.20,13.89,10.57,6.80
1/4/1947,31.00,22.75,17.17,11.58,6.30
1/5/1947,28.70,21.28,16.43,11.58,6.40
1/6/1947,35.70,25.43,20.16,14.89,11.70
1/7/1947,35.60,28.16,22.25,16.33,13.20
1/8/1947,34.90,28.93,23.55,18.16,15.50
1/9/1947,31.70,26.98,21.92,16.85,13.80
1/10/1947,29.00,24.67,20.08,15.49,11.80
1/11/1947,26.00,21.43,16.70,11.97,5.80
1/12/1947,18.20,15.03,11.43,7.84,3.40
1/1/1948,17.70,15.71,12.43,9.15,4.40
1/2/1948,21.50,17.26,13.06,8.87,3.00
1/3/1948,26.40,21.61,16.61,11.62,8.50
1/4/1948,25.00,19.51,15.25,10.99,8.80
1/5/1948,25.40,20.82,16.71,12.61,7.90
1/6/1948,37.70,27.45,22.04,16.64,13.30
1/7/1948,35.50,28.53,22.61,16.70,14.60
1/8/1948,38.30,28.52,23.01,17.50,15.60
1/9/1948,35.50,28.12,22.76,17.40,14.00
1/10/1948,35.30,24.59,20.00,15.40,10.60
1/11/1948,24.90,20.97,16.63,12.28,9.20
1/12/1948,20.20,16.54,13.43,10.31,3.40
1/1/1949,20.50,15.91,11.83,7.75,4.20
1/2/1949,22.50,18.13,13.43,8.74,5.00
1/3/1949,24.00,18.58,14.37,10.17,5.90
1/4/1949,29.20,23.01,18.11,13.22,9.70
1/5/1949,28.70,22.16,17.38,12.59,9.40
1/6/1949,36.50,27.01,21.44,15.87,10.50
1/7/1949,38.70,29.73,24.12,18.51,14.80
1/8/1949,36.40,31.14,25.27,19.39,16.80
1/9/1949,32.10,25.35,21.42,17.50,15.00
1/10/1949,30.80,23.90,19.60,15.31,10.40
1/11/1949,24.70,19.04,15.55,12.06,7.60
1/12/1949,19.40,14.86,11.98,9.09,2.50
1/1/1950,18.60,14.55,10.84,7.13,3.00
1/2/1950,22.60,16.88,12.72,8.55,3.80
1/3/1950,25.40,18.68,14.48,10.27,8.10
1/4/1950,31.00,20.54,15.94,11.35,7.90
1/5/1950,27.20,21.64,17.23,12.82,10.20
1/6/1950,37.00,25.40,20.57,15.75,13.00
1/7/1950,36.20,28.38,23.09,17.79,15.40
1/8/1950,35.30,27.64,22.28,16.92,14.70
1/9/1950,34.90,26.64,21.38,16.11,13.20
1/10/1950,29.20,22.98,18.61,14.24,10.80
1/11/1950,26.70,19.67,16.04,12.40,8.60
1/12/1950,18.20,13.79,10.91,8.03,3.90
1/1/1951,19.20,14.79,11.42,8.04,4.80
1/2/1951,16.70,14.11,11.20,8.29,4.80
1/3/1951,26.30,17.04,13.30,9.56,4.30
1/4/1951,23.50,19.87,15.36,10.85,7.50
1/5/1951,27.10,19.76,15.69,11.62,7.00
1/6/1951,33.10,25.90,20.55,15.19,10.80
1/7/1951,34.70,26.80,21.90,17.01,14.90
1/8/1951,33.70,26.93,21.84,16.75,14.80
1/9/1951,34.50,27.72,22.26,16.80,13.10
1/10/1951,29.60,22.61,18.13,13.65,7.70
1/11/1951,20.60,16.91,13.83,10.75,7.50
1/12/1951,18.60,15.59,12.50,9.41,5.60
1/1/1952,15.60,13.34,9.91,6.48,3.10
1/2/1952,22.10,15.94,11.96,7.97,4.50
1/3/1952,24.40,19.10,15.03,10.95,8.30
1/4/1952,28.80,19.07,15.02,10.97,8.00
1/5/1952,28.50,21.94,17.77,13.61,9.30
1/6/1952,31.90,25.99,21.07,16.14,13.40
1/7/1952,38.80,27.48,22.14,16.80,13.80
1/8/1952,32.60,27.39,22.14,16.89,14.50
1/9/1952,34.80,25.40,20.05,14.70,11.00
1/10/1952,30.60,22.33,18.14,13.94,9.90
1/11/1952,23.20,19.26,15.10,10.93,5.50
1/12/1952,19.00,15.91,12.46,9.01,3.50
1/1/1953,20.60,13.89,10.40,6.91,3.20
1/2/1953,18.70,14.99,11.26,7.53,3.70
1/3/1953,25.00,18.72,14.02,9.32,5.80
1/4/1953,26.00,19.81,15.42,11.03,7.60
1/5/1953,34.30,25.14,20.00,14.86,11.50
1/6/1953,30.80,23.92,19.33,14.75,11.40
1/7/1953,32.90,28.32,22.48,16.65,14.60
1/8/1953,35.80,30.06,24.27,18.48,15.50
1/9/1953,35.50,27.47,22.57,17.66,13.70
1/10/1953,28.80,22.02,17.86,13.69,9.80
1/11/1953,21.90,19.11,15.63,12.16,10.80
1/12/1953,20.50,16.24,13.33,10.41,6.30
1/1/1954,17.40,12.76,9.51,6.25,1.20
1/2/1954,19.90,14.14,10.63,7.13,-1.10
1/3/1954,20.50,16.47,12.88,9.29,6.30
1/4/1954,24.80,19.30,15.11,10.92,6.70
1/5/1954,27.70,22.77,17.80,12.84,9.20
1/6/1954,33.00,24.00,19.09,14.18,11.90
1/7/1954,36.00,27.67,22.04,16.41,13.00
1/8/1954,35.50,26.47,21.31,16.15,13.70
1/9/1954,32.80,26.05,21.04,16.03,14.10
1/10/1954,30.00,24.88,20.31,15.74,12.10
1/11/1954,22.20,19.09,15.99,12.89,7.10
1/12/1954,18.90,15.11,11.79,8.46,4.40
1/1/1955,19.90,16.49,14.00,11.50,7.30
1/2/1955,19.20,16.32,12.65,8.98,4.70
1/3/1955,25.90,16.81,13.07,9.33,2.80
1/4/1955,28.90,22.59,17.67,12.76,9.70
1/5/1955,28.40,23.98,19.06,14.15,11.30
1/6/1955,34.40,26.29,21.02,15.75,12.40
1/7/1955,32.70,26.62,21.67,16.73,15.00
1/8/1955,33.00,28.28,22.91,17.54,15.30
1/9/1955,34.70,28.29,22.84,17.40,14.40
1/10/1955,34.40,23.32,18.94,14.55,9.50
1/11/1955,20.80,17.58,14.66,11.75,7.50
1/12/1955,19.10,17.09,13.78,10.48,6.10
1/1/1956,18.40,15.03,11.85,8.66,4.60
1/2/1956,16.50,11.69,7.75,3.80,-1.20
1/3/1956,22.90,16.67,12.65,8.63,5.40
1/4/1956,23.80,18.11,14.64,11.17,8.30
1/5/1956,30.20,23.24,18.60,13.95,8.80
1/6/1956,35.00,25.70,20.77,15.84,12.00
1/7/1956,33.60,27.37,21.90,16.44,12.10
1/8/1956,34.30,26.18,21.18,16.17,13.30
1/9/1956,29.80,23.91,19.39,14.87,10.30
1/10/1956,27.60,22.37,18.50,14.63,8.80
1/11/1956,19.50,16.11,12.38,8.65,5.30
1/12/1956,16.80,13.89,9.98,6.08,2.70
1/1/1957,16.60,13.24,9.29,5.35,0.30
1/2/1957,19.00,15.76,12.46,9.16,5.00
1/3/1957,25.90,18.75,14.82,10.89,7.90
1/4/1957,27.80,19.66,15.04,10.42,7.70
1/5/1957,29.40,21.10,16.72,12.34,8.60
1/6/1957,33.60,24.39,19.52,14.66,11.90
1/7/1957,35.20,28.72,23.33,17.94,15.20
1/8/1957,34.60,28.80,23.14,17.47,14.70
1/9/1957,35.00,27.38,22.24,17.11,13.90
1/10/1957,27.50,22.68,17.89,13.11,10.40
1/11/1957,19.70,17.41,13.74,10.08,7.10
1/12/1957,17.90,13.56,9.97,6.39,2.20
1/1/1958,20.00,14.66,11.67,8.68,4.20
1/2/1958,21.40,16.44,13.39,10.34,5.60
1/3/1958,22.70,17.03,13.59,10.15,5.80
1/4/1958,30.40,19.75,15.12,10.49,4.40
1/5/1958,30.20,22.25,17.73,13.21,9.10
1/6/1958,30.10,23.75,19.46,15.17,12.60
1/7/1958,39.60,28.10,22.23,16.36,12.30
1/8/1958,35.30,26.97,21.80,16.63,14.00
1/9/1958,30.50,25.82,21.33,16.84,15.00
1/10/1958,30.50,23.79,19.24,14.69,12.40
1/11/1958,22.80,18.26,14.38,10.49,7.00
1/12/1958,18.30,15.35,12.59,9.84,4.70
1/1/1959,19.40,15.46,12.68,9.91,4.30
1/2/1959,19.20,15.45,11.57,7.68,3.60
1/3/1959,20.30,16.80,13.50,10.19,7.30
1/4/1959,24.30,18.91,15.26,11.60,8.70
1/5/1959,29.50,21.45,17.29,13.13,10.10
1/6/1959,33.20,25.15,20.37,15.60,11.50
1/7/1959,35.00,27.99,22.65,17.32,15.50
1/8/1959,34.50,28.24,23.04,17.84,15.10
1/9/1959,32.50,25.99,21.44,16.90,14.70
1/10/1959,28.40,22.12,18.19,14.26,11.00
1/11/1959,23.80,17.56,14.17,10.78,8.40
1/12/1959,17.40,14.75,12.18,9.61,6.50
1/1/1960,18.20,14.19,11.42,8.65,1.50
1/2/1960,25.40,15.71,12.66,9.61,4.00
1/3/1960,25.00,17.40,13.87,10.34,7.00
1/4/1960,24.70,20.53,16.32,12.11,8.60
1/5/1960,32.40,22.15,17.84,13.54,10.10
1/6/1960,31.90,25.57,20.95,16.33,13.20
1/7/1960,36.20,27.32,22.29,17.27,15.00
1/8/1960,32.30,26.74,21.60,16.45,14.40
1/9/1960,33.20,26.45,21.32,16.20,13.40
1/10/1960,22.20,20.30,16.73,13.15,10.60
1/11/1960,20.60,17.50,14.71,11.92,7.40
1/12/1960,17.70,14.21,11.30,8.40,5.20
1/1/1961,15.90,13.65,10.64,7.63,1.80
1/2/1961,22.20,17.42,13.62,9.82,4.90
1/3/1961,25.40,21.61,16.38,11.15,8.10
1/4/1961,24.00,19.63,15.58,11.52,9.20
1/5/1961,32.60,24.57,19.84,15.12,9.50
1/6/1961,34.70,26.08,21.16,16.23,12.00
1/7/1961,34.70,28.46,23.12,17.78,14.00
1/8/1961,39.30,31.30,25.21,19.11,15.40
1/9/1961,30.10,25.88,21.14,16.39,13.70
1/10/1961,26.50,21.07,17.40,13.74,10.00
1/11/1961,22.70,17.15,14.05,10.94,7.00
1/12/1961,18.90,15.71,13.15,10.59,6.80
1/1/1962,17.70,14.76,11.42,8.08,4.50
1/2/1962,19.10,15.78,11.54,7.30,4.40
1/3/1962,18.80,16.07,13.27,10.47,7.00
1/4/1962,25.50,19.57,15.43,11.28,8.50
1/5/1962,28.30,22.25,17.61,12.96,9.80
1/6/1962,35.00,26.63,21.66,16.68,12.30
1/7/1962,34.80,27.13,21.73,16.32,13.70
1/8/1962,37.60,28.99,23.28,17.56,14.60
1/9/1962,32.70,26.20,21.62,17.04,12.60
1/10/1962,31.30,23.49,19.76,16.03,13.00
1/11/1962,19.60,16.34,12.96,9.57,5.40
1/12/1962,17.80,13.44,10.50,7.55,0.50
1/1/1963,17.60,14.02,11.39,8.77,2.50
1/2/1963,16.20,14.39,11.13,7.86,2.10
1/3/1963,20.40,16.55,13.14,9.74,6.20
1/4/1963,25.80,19.68,15.55,11.43,7.30
1/5/1963,28.40,22.81,18.03,13.25,10.00
1/6/1963,30.40,23.29,19.00,14.70,10.20
1/7/1963,35.60,27.84,22.55,17.25,13.70
1/8/1963,34.80,25.95,21.11,16.26,14.50
1/9/1963,34.00,25.20,20.45,15.71,13.10
1/10/1963,30.90,24.74,19.65,14.57,11.50
1/11/1963,20.10,17.79,15.07,12.35,6.70
1/12/1963,17.40,14.07,11.21,8.35,1.10
1/1/1964,18.60,14.40,11.11,7.81,3.60
1/2/1964,19.90,15.75,12.54,9.33,4.50
1/3/1964,18.80,15.89,12.70,9.50,4.00
1/4/1964,28.60,19.30,14.88,10.45,6.30
1/5/1964,30.20,24.12,19.09,14.06,12.00
1/6/1964,33.00,25.62,20.88,16.13,12.50
1/7/1964,32.30,26.94,21.93,16.93,14.60
1/8/1964,37.30,28.75,23.42,18.09,15.00
1/9/1964,35.70,28.29,23.43,18.58,16.10
1/10/1964,27.50,22.45,18.23,14.00,9.50
1/11/1964,22.50,18.02,14.17,10.31,5.90
1/12/1964,17.80,13.35,9.81,6.27,2.50
1/1/1965,17.00,14.29,11.10,7.91,3.20
1/2/1965,18.90,14.01,10.38,6.74,1.50
1/3/1965,26.20,17.60,14.03,10.46,4.20
1/4/1965,27.50,20.21,15.88,11.55,9.10
1/5/1965,35.10,25.22,19.60,13.97,11.20
1/6/1965,31.00,26.11,20.99,15.88,12.40
1/7/1965,30.60,25.73,20.80,15.88,14.30
1/8/1965,35.50,28.68,23.04,17.40,14.80
1/9/1965,34.30,24.24,19.64,15.04,12.10
1/10/1965,24.60,21.38,18.23,15.09,12.10
1/11/1965,23.30,16.78,13.74,10.70,4.80
1/12/1965,17.50,14.71,12.11,9.52,5.60
1/1/1966,17.80,15.88,13.52,11.17,6.10
1/2/1966,19.70,16.17,13.30,10.43,7.60
1/3/1966,22.20,18.57,14.03,9.49,6.70
1/4/1966,26.00,19.05,15.46,11.86,8.50
1/5/1966,32.40,24.39,19.00,13.60,9.20
1/6/1966,36.80,25.10,20.55,16.00,11.00
1/7/1966,36.10,26.80,22.01,17.21,14.80
1/8/1966,33.00,27.65,22.20,16.75,15.30
1/9/1966,36.60,28.20,23.10,17.99,13.20
1/10/1966,25.50,20.13,16.86,13.58,8.00
1/11/1966,17.90,15.21,12.11,9.00,6.00
1/12/1966,17.30,14.52,11.24,7.95,3.00
1/1/1967,18.60,14.19,10.60,7.02,1.60
1/2/1967,20.20,15.41,12.05,8.69,4.60
1/3/1967,24.90,19.58,15.21,10.85,6.60
1/4/1967,26.60,19.61,15.15,10.70,6.60
1/5/1967,28.00,20.35,15.99,11.62,8.10
1/6/1967,32.10,26.45,21.13,15.81,13.90
1/7/1967,32.90,26.91,21.56,16.22,13.70
1/8/1967,31.00,27.26,21.98,16.69,15.50
1/9/1967,30.40,25.24,20.81,16.38,13.50
1/10/1967,31.10,22.99,18.72,14.45,10.20
1/11/1967,21.10,16.73,13.64,10.55,7.60
1/12/1967,17.60,13.76,10.61,7.47,3.00
1/1/1968,17.60,15.36,11.43,7.49,5.00
1/2/1968,19.60,15.46,12.33,9.21,6.00
1/3/1968,21.40,16.43,12.78,9.13,4.60
1/4/1968,22.10,18.08,14.29,10.49,6.00
1/5/1968,30.10,21.96,17.42,12.88,8.00
1/6/1968,37.60,25.51,20.28,15.05,12.50
1/7/1968,37.80,27.92,22.83,17.74,14.70
1/8/1968,37.60,27.85,22.65,17.45,15.30
1/9/1968,30.80,25.23,20.79,16.36,12.60
1/10/1968,30.00,24.55,20.17,15.78,13.50
1/11/1968,21.30,18.57,15.30,12.03,9.40
1/12/1968,18.10,15.03,12.07,9.11,3.40
1/1/1969,19.30,14.78,11.95,9.11,3.20
1/2/1969,18.50,13.73,10.71,7.68,4.10
1/3/1969,20.60,16.74,13.52,10.30,6.70
1/4/1969,25.00,18.83,14.62,10.40,7.00
1/5/1969,28.50,20.20,16.29,12.38,9.50
1/6/1969,31.90,23.80,19.54,15.28,12.30
1/7/1969,35.40,29.75,23.85,17.96,15.70
1/8/1969,35.30,28.94,23.69,18.44,14.80
1/9/1969,28.80,23.45,19.44,15.44,12.00
1/10/1969,27.00,22.46,18.76,15.05,12.70
1/11/1969,23.70,16.79,13.20,9.61,4.60
1/12/1969,17.10,14.36,11.23,8.10,4.50
1/1/1970,17.30,14.68,12.27,9.85,5.60
1/2/1970,20.10,15.68,11.95,8.23,4.60
1/3/1970,21.70,16.27,12.26,8.25,5.60
1/4/1970,28.20,20.06,15.21,10.36,8.00
1/5/1970,33.30,22.83,18.25,13.66,7.00
1/6/1970,29.30,23.30,19.21,15.13,12.00
1/7/1970,34.40,27.71,22.45,17.18,14.60
1/8/1970,32.40,26.73,21.70,16.68,13.50
1/9/1970,36.90,27.78,22.46,17.14,12.50
1/10/1970,32.60,23.82,18.99,14.16,9.50
1/11/1970,27.80,21.02,17.06,13.10,9.30
1/12/1970,16.90,11.83,8.44,5.05,1.50
1/1/1971,17.50,13.70,10.65,7.61,0.40
1/2/1971,23.50,17.14,13.05,8.97,6.20
1/3/1971,21.70,16.05,12.08,8.11,2.90
1/4/1971,24.30,17.90,14.21,10.52,7.20
1/5/1971,24.80,19.01,15.35,11.69,8.90
1/6/1971,32.60,23.00,18.48,13.95,11.10
1/7/1971,34.80,26.50,22.14,17.78,15.70
1/8/1971,33.00,25.92,21.13,16.34,13.90
1/9/1971,32.80,26.57,21.69,16.81,13.60
1/10/1971,28.50,25.39,20.58,15.77,13.10
1/11/1971,24.00,17.37,13.46,9.55,3.90
1/12/1971,18.60,15.36,11.82,8.28,4.90
1/1/1972,16.40,13.86,10.69,7.53,3.90
1/2/1972,17.60,14.84,11.74,8.65,5.90
1/3/1972,22.10,15.65,12.14,8.64,6.30
1/4/1972,25.40,19.88,15.49,11.10,8.30
1/5/1972,28.70,20.07,15.57,11.07,6.90
1/6/1972,25.90,21.60,17.18,12.75,10.30
1/7/1972,34.80,25.97,21.41,16.84,14.10
1/8/1972,36.00,26.49,21.81,17.14,14.40
1/9/1972,27.40,23.73,19.59,15.45,12.80
1/10/1972,25.40,20.50,16.90,13.30,9.80
1/11/1972,19.70,17.41,14.54,11.67,7.50
1/12/1972,17.50,14.18,11.51,8.85,4.90
1/1/1973,17.10,13.82,10.52,7.23,3.80
1/2/1973,18.70,15.07,11.63,8.19,4.50
1/3/1973,20.80,17.59,13.43,9.27,5.50
1/4/1973,27.10,20.76,16.09,11.41,6.40
1/5/1973,28.50,21.39,17.36,13.32,9.40
1/6/1973,33.30,25.74,20.94,16.14,12.90
1/7/1973,33.20,25.77,21.19,16.61,14.70
1/8/1973,35.10,28.66,23.24,17.82,16.00
1/9/1973,31.70,24.98,20.89,16.81,13.70
1/10/1973,26.50,22.04,18.28,14.53,11.70
1/11/1973,20.40,18.29,14.83,11.37,6.70
1/12/1973,18.60,14.35,10.91,7.47,4.10
1/1/1974,18.90,15.58,12.70,9.83,4.50
1/2/1974,17.90,15.41,11.97,8.54,6.10
1/3/1974,21.20,16.43,12.80,9.16,4.50
1/4/1974,23.30,17.63,13.77,9.91,7.10
1/5/1974,35.00,22.14,17.61,13.08,8.90
1/6/1974,31.80,24.01,19.71,15.41,12.40
1/7/1974,36.20,29.72,24.19,18.65,15.30
1/8/1974,34.00,28.21,22.65,17.09,13.90
1/9/1974,29.90,24.53,19.85,15.17,10.70
1/10/1974,26.60,20.31,16.11,11.92,8.00
1/11/1974,22.20,17.94,14.32,10.70,7.40
1/12/1974,19.20,15.13,11.67,8.21,4.80
1/1/1975,17.60,14.87,11.71,8.55,2.30
1/2/1975,18.60,16.14,13.14,10.15,7.70
1/3/1975,19.40,15.79,12.28,8.78,5.20
1/4/1975,25.30,19.16,14.79,10.41,6.40
1/5/1975,27.70,20.62,16.78,12.95,10.40
1/6/1975,32.00,24.10,19.46,14.83,11.60
1/7/1975,35.70,27.84,22.43,17.02,15.30
1/8/1975,37.40,28.50,23.54,18.58,15.50
1/9/1975,31.60,24.29,20.10,15.92,11.80
1/10/1975,29.80,23.00,18.85,14.70,10.00
1/11/1975,22.40,18.46,14.78,11.11,7.00
1/12/1975,17.80,12.99,9.92,6.86,2.40
1/1/1976,19.50,13.83,9.93,6.04,2.00
1/2/1976,21.30,16.16,12.66,9.16,6.50
1/3/1976,25.00,18.30,14.00,9.70,7.00
1/4/1976,21.60,17.53,13.91,10.29,7.00
1/5/1976,29.40,22.11,17.44,12.77,10.70
1/6/1976,33.00,28.13,22.55,16.97,13.70
1/7/1976,36.00,27.95,22.99,18.02,15.80
1/8/1976,34.30,28.23,23.36,18.50,16.00
1/9/1976,29.60,24.47,20.20,15.93,13.20
1/10/1976,28.20,20.56,17.05,13.55,9.40
1/11/1976,18.80,15.99,12.56,9.13,5.90
1/12/1976,18.60,15.02,12.56,10.10,5.50
1/1/1977,17.00,13.86,11.30,8.74,4.80
1/2/1977,21.40,15.49,12.77,10.05,6.00
1/3/1977,24.20,18.34,14.40,10.46,6.40
1/4/1977,27.20,19.93,15.82,11.71,8.60
1/5/1977,26.90,21.06,16.58,12.10,8.30
1/6/1977,30.30,22.64,17.98,13.32,11.00
1/7/1977,32.30,25.46,20.69,15.92,13.10
1/8/1977,33.10,26.22,21.18,16.15,13.80
1/9/1977,33.90,27.52,22.55,17.58,14.80
1/10/1977,30.60,21.84,18.01,14.17,9.40
1/11/1977,24.30,17.68,14.35,11.02,6.30
1/12/1977,21.80,16.50,13.87,11.24,5.10
1/1/1978,17.00,14.23,11.45,8.66,3.50
1/2/1978,19.00,15.75,12.84,9.93,3.00
1/3/1978,22.60,17.78,13.49,9.19,6.40
1/4/1978,24.30,17.28,13.71,10.15,7.50
1/5/1978,27.00,20.63,16.46,12.30,8.00
1/6/1978,29.40,22.52,18.21,13.91,11.40
1/7/1978,35.70,28.32,22.46,16.60,13.70
1/8/1978,37.90,28.07,22.45,16.83,14.40
1/9/1978,37.10,29.24,23.96,18.69,16.00
1/10/1978,26.60,22.92,18.57,14.22,11.40
1/11/1978,22.70,18.03,14.78,11.53,8.80
