Date,"Total mensal","Máximo diário"
1/8/1965,0.00,0.00
1/9/1965,74.60,54.20
1/10/1965,146.60,28.00
1/11/1965,71.80,17.20
1/12/1965,20.50,5.60
1/1/1966,47.50,12.30
1/2/1966,80.80,18.90
1/3/1966,3.10,3.10
1/4/1966,55.30,13.00
1/5/1966,1.40,1.10
1/6/1966,5.80,4.00
1/7/1966,0.00,0.00
1/8/1966,7.60,7.60
1/9/1966,2.70,1.50
1/10/1966,48.30,36.70
1/11/1966,24.70,13.30
1/12/1966,8.50,7.80
1/1/1967,36.60,14.90
1/2/1967,47.00,8.60
1/3/1967,19.90,11.00
1/4/1967,11.40,3.30
1/5/1967,42.10,11.50
1/6/1967,1.50,1.40
1/7/1967,0.00,0.00
1/8/1967,0.00,0.00
1/9/1967,1.20,1.20
1/10/1967,100.20,33.10
1/11/1967,129.40,27.70
1/12/1967,12.70,12.70
1/1/1968,0.10,0.10
1/2/1968,139.80,50.50
1/3/1968,81.60,36.60
1/4/1968,8.20,3.20
1/5/1968,15.90,14.00
1/6/1968,4.10,4.10
1/7/1968,0.10,0.10
1/8/1968,6.60,4.30
1/9/1968,1.10,1.10
1/10/1968,10.90,3.80
1/11/1968,126.80,59.30
1/12/1968,86.70,35.90
1/1/1969,116.70,59.50
1/2/1969,193.80,36.60
1/3/1969,92.00,20.00
1/4/1969,13.10,4.70
1/5/1969,39.80,18.80
1/6/1969,2.60,2.10
1/7/1969,0.00,0.00
1/8/1969,0.00,0.00
1/9/1969,24.20,17.60
1/10/1969,58.50,12.80
1/11/1969,120.70,30.00
1/12/1969,25.90,13.10
1/1/1970,309.70,51.30
1/2/1970,9.40,4.90
1/3/1970,75.50,27.80
1/4/1970,18.50,13.20
1/5/1970,25.40,8.40
1/6/1970,46.10,27.50
1/7/1970,0.00,0.00
1/8/1970,0.00,0.00
1/9/1970,0.00,0.00
1/10/1970,21.70,18.20
1/11/1970,17.70,10.90
1/12/1970,93.40,44.40
1/1/1971,127.00,30.30
1/2/1971,19.60,9.50
1/3/1971,22.00,9.20
1/4/1971,124.60,32.40
1/5/1971,68.70,11.50
1/6/1971,15.10,8.20
1/7/1971,0.40,0.30
1/8/1971,4.20,4.00
1/9/1971,0.40,0.30
1/10/1971,13.80,13.00
1/11/1971,5.30,4.60
1/12/1971,129.10,85.00
1/1/1972,126.00,29.00
1/2/1972,142.90,21.60
1/3/1972,82.70,28.20
1/4/1972,12.70,12.60
1/5/1972,9.50,7.60
1/6/1972,0.50,0.40
1/7/1972,0.90,0.50
1/8/1972,0.00,0.00
1/9/1972,41.80,21.60
