Date,"Total mensal","Máximo diário"
1/1/1941,198.90,28.00
1/2/1941,108.00,17.60
1/3/1941,89.60,18.80
1/4/1941,122.90,26.50
1/5/1941,31.90,13.80
1/6/1941,9.40,6.50
1/7/1941,27.80,12.40
1/8/1941,0.00,0.00
1/9/1941,26.60,11.50
1/10/1941,11.00,9.10
1/11/1941,144.80,29.50
1/12/1941,20.20,8.60
1/1/1942,92.80,21.10
1/2/1942,43.70,21.50
1/3/1942,208.30,53.60
1/4/1942,106.50,31.70
1/5/1942,28.70,9.00
1/6/1942,15.30,3.70
1/7/1942,0.00,0.00
1/8/1942,9.30,5.80
1/9/1942,79.60,49.60
1/10/1942,94.20,31.20
1/11/1942,55.30,22.80
1/12/1942,132.60,22.80
1/1/1943,170.20,29.50
1/2/1943,36.70,11.50
1/3/1943,109.70,28.30
1/4/1943,51.00,16.50
1/5/1943,4.20,2.10
1/6/1943,0.60,0.60
1/7/1943,12.30,4.30
1/8/1943,0.90,0.70
1/9/1943,132.00,42.10
1/10/1943,39.20,14.20
1/11/1943,9.10,4.70
1/12/1943,64.90,13.70
1/1/1944,10.20,3.90
1/2/1944,30.60,12.80
1/3/1944,77.10,20.50
1/4/1944,85.60,29.60
1/5/1944,6.10,5.30
1/6/1944,39.40,18.30
1/7/1944,12.60,8.90
1/8/1944,10.80,6.50
1/9/1944,33.90,18.80
1/10/1944,44.80,17.20
1/11/1944,35.50,11.70
1/12/1944,33.40,11.40
1/1/1945,64.50,20.40
1/2/1945,11.10,7.00
1/3/1945,15.30,8.10
1/4/1945,31.60,23.30
1/5/1945,37.30,16.20
1/6/1945,13.90,7.10
1/7/1945,7.00,6.10
1/8/1945,0.00,0.00
1/9/1945,0.00,0.00
1/10/1945,44.40,21.80
1/11/1945,164.70,87.50
1/12/1945,143.60,43.90
1/1/1946,98.60,35.60
1/2/1946,33.80,15.60
1/3/1946,103.40,24.80
1/4/1946,66.30,14.30
1/5/1946,149.30,19.50
1/6/1946,8.10,4.00
