"fecha","anio","mes_num","ciudad","temp_media","temp_max_med","temp_min_med","prec_total"
2015-07-01,2015,7,"Lisboa",23.38,28.33,18.43,3.1
2015-08-01,2015,8,"Lisboa",23.34,28.27,18.4,2.2
2015-09-01,2015,9,"Lisboa",20.94,25.44,16.44,6.3
2015-10-01,2015,10,"Lisboa",18.75,21.62,15.87,173
2015-11-01,2015,11,"Lisboa",16.25,19.41,13.09,32.9
2015-12-01,2015,12,"Lisboa",13.75,16.75,10.75,44.8
2016-01-01,2016,1,"Lisboa",13.61,16.47,10.75,132.8
2016-02-01,2016,2,"Lisboa",12.86,15.93,9.78,108.9
2016-03-01,2016,3,"Lisboa",13.35,17.04,9.67,50.1
2016-04-01,2016,4,"Lisboa",15.21,18.97,11.45,139
2016-05-01,2016,5,"Lisboa",17.5,21.36,13.65,151
2016-06-01,2016,6,"Lisboa",21.9,26.73,17.06,1.2
2016-07-01,2016,7,"Lisboa",24.76,30.21,19.32,1.7
2016-08-01,2016,8,"Lisboa",25.23,30.84,19.62,0.1
2016-09-01,2016,9,"Lisboa",22.91,27.95,17.88,18.6
2016-10-01,2016,10,"Lisboa",19.29,22.92,15.66,69
2016-11-01,2016,11,"Lisboa",14.87,17.84,11.9,163.1
2016-12-01,2016,12,"Lisboa",12.63,15.59,9.67,103
2017-01-01,2017,1,"Lisboa",10.92,14.37,7.47,78.3
2017-02-01,2017,2,"Lisboa",13.39,16.7,10.08,103.6
2017-03-01,2017,3,"Lisboa",14.79,18.83,10.75,80
2017-04-01,2017,4,"Lisboa",18.67,23.75,13.59,5.5
2017-05-01,2017,5,"Lisboa",20.19,24.89,15.49,65
2017-06-01,2017,6,"Lisboa",23.35,28.64,18.05,0.4
2017-07-01,2017,7,"Lisboa",23.21,28.39,18.03,0.6
2017-08-01,2017,8,"Lisboa",23.84,29.47,18.21,6.9
2015-07-01,2015,7,"Faro (Algarve)",26.32,31.28,21.35,0
2015-08-01,2015,8,"Faro (Algarve)",24.02,28.17,19.86,0
2015-09-01,2015,9,"Faro (Algarve)",21.25,24.97,17.53,0.5
2015-10-01,2015,10,"Faro (Algarve)",19.66,22.45,16.87,119.5
2015-11-01,2015,11,"Faro (Algarve)",16.68,20.64,12.71,105.1
2015-12-01,2015,12,"Faro (Algarve)",15.98,19.04,12.93,34.5
2016-01-01,2016,1,"Faro (Algarve)",14.35,17.46,11.25,30.8
2016-02-01,2016,2,"Faro (Algarve)",13.71,17.24,10.19,21.7
2016-03-01,2016,3,"Faro (Algarve)",13.05,17.76,8.33,4
2016-04-01,2016,4,"Faro (Algarve)",16.33,19.84,12.82,39.2
2016-05-01,2016,5,"Faro (Algarve)",19.1,23,15.21,119.8
2016-06-01,2016,6,"Faro (Algarve)",23.51,28.42,18.6,0
2016-07-01,2016,7,"Faro (Algarve)",25.97,30.57,21.37,0
2016-08-01,2016,8,"Faro (Algarve)",26.34,31.01,21.68,0
2016-09-01,2016,9,"Faro (Algarve)",23.71,28.05,19.36,9.3
2016-10-01,2016,10,"Faro (Algarve)",20.03,23.65,16.4,74.1
2016-11-01,2016,11,"Faro (Algarve)",15.77,19.59,11.95,81.4
2016-12-01,2016,12,"Faro (Algarve)",14.53,17.76,11.29,95.4
2017-01-01,2017,1,"Faro (Algarve)",12.02,16.36,7.68,29.3
2017-02-01,2017,2,"Faro (Algarve)",13.86,17.1,10.62,83.7
2017-03-01,2017,3,"Faro (Algarve)",15.08,19.05,11.12,78.4
2017-04-01,2017,4,"Faro (Algarve)",18.05,21.99,14.1,21.2
2017-05-01,2017,5,"Faro (Algarve)",20.48,24.42,16.54,25.2
2017-06-01,2017,6,"Faro (Algarve)",24.98,29.76,20.21,0
2017-07-01,2017,7,"Faro (Algarve)",25.24,30.2,20.27,0
2017-08-01,2017,8,"Faro (Algarve)",25.39,29.99,20.79,5.6
